"genes","logFC","logCPM","PValue","FDR"
"MAB21L4",-4.66258699702735,0.306861290725475,6.04108983496942e-12,4.23065072505202e-10
"TMPRSS2",-1.76864074801484,2.73573022595579,8.30351672108724e-12,5.78492672703311e-10
"ECHDC2",-1.52539557988723,4.87630864475527,8.63914147644794e-12,5.98772661300613e-10
"AOX1",-2.54658712724452,7.84741924001988,9.87311286585732e-12,6.80789105611885e-10
"RIDA",-1.14291822400209,7.5686624963623,1.15224567239439e-11,7.90464046480355e-10
"HPD",-1.73836009153776,7.98172884890542,1.1596686661597e-11,7.91518014476314e-10
"MYORG",-1.29973333862253,4.58213368146124,1.31639795090222e-11,8.93953881203597e-10
"VGLL2",2.44170433534837,2.4347443435899,1.62892921325665e-11,1.10063227142959e-09
"RPS6KA3",-1.13199121073742,4.96666402697146,1.69713231208738e-11,1.13878055025219e-09
"FYN",-2.61968761316531,1.26502985210502,1.70232701621814e-11,1.13878055025219e-09
"NHSL1",-2.2326636008436,2.57046019082489,1.82617110062761e-11,1.21557904054648e-09
"REPS1",-1.26949970048477,4.33059450230525,2.25479920577277e-11,1.49349902073008e-09
"BTD",-1.39546626526954,4.31695681974509,2.32901107958009e-11,1.53509230274676e-09
"NR0B2",-3.24753781786087,1.20062919357218,2.98935172664349e-11,1.96072308860724e-09
"SLC2A14",-4.34667311512119,0.492152121292885,3.06165675203333e-11,1.99839983921554e-09
"COL18A1",-1.90535280633034,6.61084653059857,3.0969530960282e-11,2.01167301107223e-09
"SLC35D1",-1.31045594853652,4.81533848547501,3.17575344179443e-11,2.05294138357538e-09
"SULT2A1",-3.33890306801632,7.52052781651341,3.5504049368477e-11,2.28415046798345e-09
"PEPD",-1.19052063767426,6.78087262456851,3.73689073396603e-11,2.3926777528051e-09
"COBL",-1.92671799738672,3.06426590899156,3.77619561602089e-11,2.40638513047474e-09
"CFB",-2.24686941548259,8.90826801404621,4.03853643926119e-11,2.56142268690123e-09
"TMEM14A",-1.23362827724304,6.69702868231677,4.29551642236413e-11,2.71162036690648e-09
"CFHR1",-4.56288619048002,6.03748158129944,4.59052957828235e-11,2.88431124811142e-09
"F10",-1.72710042862281,3.44661189214186,4.73349887601455e-11,2.94987644130974e-09
"C11orf54",-1.19795972915187,5.39993729860681,4.73875733543733e-11,2.94987644130974e-09
"STARD10",-1.57355693031166,6.76608143342172,5.31115431557229e-11,3.29095764641405e-09
"GIPC2",-1.94061453603107,2.56262969410419,5.74306033682366e-11,3.5422563894005e-09
"SH3PXD2A",-1.39145699939645,3.80059205495751,5.80762887548566e-11,3.56572501642832e-09
