"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CRELD2",383.961977475669,-0.921617472739903,0.168924702921679,6.49219486008518e-09,3.69764805628673e-07
"CSF1",544.764971393841,0.885339395907374,0.162145460725731,6.52508190926346e-09,3.70133290002795e-07
"TIMP1",9864.27585372665,-1.41022415850981,0.263747509890526,6.6225754485704e-09,3.74148808910967e-07
"COBL",50.0929888339129,-1.7917824285657,0.338477629223495,6.91114354436534e-09,3.88883663454228e-07
"VSIR",76.6422394751305,1.759758516472,0.328800638304354,6.99810521748384e-09,3.92201808808664e-07
"TGFBI",830.754787687456,1.0026845270323,0.185425748914963,7.38926513018418e-09,4.12474078641476e-07
"KAT2B",84.2961296484823,-1.47260328031549,0.277779500240054,7.43240333330907e-09,4.1323572659918e-07
"GLUD1",590.141417994295,-0.817371047788857,0.149938777477301,7.5892311411244e-09,4.20287421020925e-07
"KLKB1",31.9173706191411,-2.01124105948654,0.379793273144734,8.44691192920364e-09,4.65943634016032e-07
"ADH4",64.1580058165187,-2.2618227610242,0.434588959263275,8.6224778965864e-09,4.7376289336891e-07
"ENSG00000290786",46.1671305696279,-2.14078820019909,0.408999187573413,9.42170112227198e-09,5.13647682584252e-07
"IRF7",62.0427507367315,-1.53737521501265,0.292825334539981,9.41745570737816e-09,5.13647682584252e-07
"PID1",73.828990194687,-2.20844483035278,0.422459310879232,1.05337905109792e-08,5.72050150578796e-07
"TMPRSS2",39.7825514981181,-1.66175196503136,0.31781511690754,1.22533328273606e-08,6.62862726811389e-07
"MYO1B",277.768441863561,-1.20335377798586,0.228305447167686,1.25024630258938e-08,6.73738497906916e-07
"SERPING1",3507.19444434149,-1.72147337261782,0.33181659028072,1.3033143187602e-08,6.99645092726021e-07
