"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"DPYD",142.996948797487,-1.66565440776194,0.231791231966312,7.25805415741654e-14,5.26904646629861e-12
"MKI67",106.316141499637,3.95737215141874,0.561621520451068,7.81232500759027e-14,5.6421899835746e-12
"CENPK",36.1206027500059,4.62306038985074,0.632325798690714,8.876121520559e-14,6.37760710895139e-12
"CYB5A",3364.78304563365,-1.50438414314166,0.210462213804596,9.09109827854307e-14,6.49874377452382e-12
"NCAPH",34.9978638863966,4.73802831481708,0.657618897654946,1.05573481279578e-13,7.50857891476228e-12
"PECR",145.88675169467,-1.47618459505696,0.207046014467287,1.09303171935035e-13,7.73457950495846e-12
"FKBP5",4123.86489122803,-1.09259268994677,0.152373515074427,1.22069776884717e-13,8.59457107503405e-12
"CKAP2L",52.6293078671684,4.1711648892417,0.590157685323114,1.58316513711899e-13,1.10908633680871e-11
"MCM5",137.489616827063,2.47601785253287,0.354375613778559,1.59571543167841e-13,1.11231686135553e-11
"MYH14",174.429761470196,-1.50366217829777,0.212435745085395,1.63204962956422e-13,1.13201224553586e-11
"C2orf72",99.842277832113,-1.83095207475432,0.261380064604717,1.91413885124769e-13,1.3211329775779e-11
"CDCA8",59.8107446221675,3.15523897882945,0.453672227791186,2.21773184333968e-13,1.52316866946236e-11
"LINC00273",110.173930137502,2.13158385639823,0.307754153662547,2.23007413048805e-13,1.52417408011064e-11
"BUB1",66.2797986430375,3.16976395250548,0.462108572467765,2.87348142400669e-13,1.95438583649309e-11
"MDM2",843.68911066769,1.3636742697274,0.194524570393763,2.91345477674779e-13,1.97200071869629e-11
"PRODH2",105.151219027383,-2.57410901473155,0.373149951155641,2.97587626506724e-13,2.00456742066621e-11
"PCYT2",721.354863710304,-1.14584883270883,0.163015901718733,3.15722111068457e-13,2.11654664984696e-11
"TTK",29.596352110011,4.10410022867959,0.59119842787239,3.55033552936216e-13,2.36875005247111e-11
"ADH6",124.841038056545,-2.46743005899275,0.357539716941856,4.10540819554999e-13,2.72610778331047e-11
"PMAIP1",224.533885696854,2.45888787097351,0.359577585843026,4.25426728022249e-13,2.81162919166025e-11
"GJB1",212.735802080889,-2.41090314380321,0.35156075085778,5.05117616377901e-13,3.32263048031491e-11
"SMOC1",82.8557606214551,-2.09368568877069,0.305457470905433,5.33701750327616e-13,3.49425010459823e-11
"ECT2",78.1162006044931,2.83778063354138,0.414364267605287,5.39435023895278e-13,3.51536005571941e-11
"FBLN1",103.620003111504,1.77063715356246,0.259663591102087,6.62843549768892e-13,4.27977003493638e-11
"LIG1",70.0453022647134,3.23786856542961,0.474803083512074,6.62273354533659e-13,4.27977003493638e-11
"CENPF",51.5789644301009,3.75084650634768,0.544568415753484,6.78064550697171e-13,4.35796441276058e-11
"ALYREF",259.500291621123,1.68881517257246,0.246722813051338,6.85511849452874e-13,4.3857107409517e-11
"BUB1B",38.6369800873167,3.89405079017879,0.557160513957025,6.94818585732047e-13,4.42504691122351e-11
"RRM1",273.281422434918,2.36171431752271,0.348274984035312,7.22245555819801e-13,4.57890610072002e-11
"A2M",3276.17450019971,-1.29749970939332,0.189095765190292,8.98297990342188e-13,5.66939330751549e-11
"C11orf54",253.723415179952,-1.24357309881912,0.181460260545829,9.99800745843274e-13,6.28170773543054e-11
"HMGCS1",1285.24298602652,-1.82742484975612,0.270194618770816,1.02777367079743e-12,6.40006084513016e-11
"SKA1",28.981752696038,5.04624810389178,0.734123210918204,1.02501145213435e-12,6.40006084513016e-11
"MXD3",63.5919620946145,2.56798022647426,0.381668308832844,1.11912037989472e-12,6.93805116933846e-11
"CEBPA",86.1146740443794,-1.62622440467856,0.239559575614904,1.19861727403042e-12,7.39816150944505e-11
"FOXM1",54.2593917973479,3.46521454510723,0.51772722829771,1.28045120842155e-12,7.86859731631329e-11
"SLC7A11",107.280834590927,2.07005047623951,0.309013629780028,1.32404130980695e-12,8.10093571690180e-11
"KIF23",52.3052281947488,3.60106619771202,0.53857721263912,1.38710863057489e-12,8.44990392303688e-11
"ENPP6",22.7737714473048,-3.90213945359787,0.581355123813051,1.57151925481857e-12,9.5318425451355e-11
"TFPI2",216.737872094851,3.00357354751133,0.450633457320592,1.59586226748779e-12,9.63776992662564e-11
"FANCG",55.5998352472415,3.98012763715268,0.584591186222961,1.69471410449484e-12,1.0190832325355e-10
"WDR76",39.028082123418,3.25608523297683,0.489053417151083,1.79298591926212e-12,1.07356947499067e-10
"ORC6",54.0192019128592,2.98453272243144,0.449327419485212,1.85380091355639e-12,1.10525977020589e-10
"CDC20",87.7202263059981,2.52050247580954,0.381055082960559,2.23420279208689e-12,1.32641590338684e-10
"IQGAP2",108.288102452285,-1.4671123307301,0.219770204598617,2.54938703249533e-12,1.50715028321907e-10
"NUF2",35.2534951815244,4.14009190394821,0.630999006700823,2.71546784648493e-12,1.59190041828872e-10
"SERPINA7",146.796340120626,-2.33960994519141,0.353926738201871,2.70588808454662e-12,1.59190041828872e-10
"BTNL8",51.5009012466464,-2.89850635480348,0.438134009183182,2.75801253407697e-12,1.61010473395635e-10
"TMEM156",68.3312585782737,4.59684682228059,0.704266542099126,2.83743601972732e-12,1.64959817727798e-10
"SLC10A1",21.4328530038409,-3.82717213155784,0.576021163746506,2.87154604747919e-12,1.66253023434838e-10
"TMPO-AS1",36.5567959164643,3.26884716297824,0.493947857707063,3.02378870015964e-12,1.74346927892744e-10
"TUBB4B",1520.54646828558,1.69170315748915,0.255508967283261,3.19562118817097e-12,1.83499378965014e-10
"SPC24",45.1183445759401,3.05319431556286,0.457711795226544,3.32055066145149e-12,1.89894838031008e-10
"TMPRSS2",39.7825514981181,-2.21238431197166,0.335533218064718,3.57871739902052e-12,2.03826867795433e-10
"RAD51C",143.258637030436,1.94820744503733,0.296229970277439,3.7153380995333e-12,2.10751425556928e-10
"CERS4",152.598850661164,-1.55708979166001,0.235376535459698,3.73065193999738e-12,2.10766791658481e-10
"GPR153",154.206434647986,-1.50141093036993,0.226936506920628,3.82840322913849e-12,2.15420713427548e-10
"GLUD1",590.141417994295,-0.999214490369083,0.149674037068946,4.2865765217855e-12,2.40236894586947e-10
"RPA3",452.42713958258,1.3214296235346,0.199580874231508,4.58654468207339e-12,2.56024213308885e-10
"SLC7A5",26.8185336444484,3.68646962842771,0.5551570267733,4.79890036063592e-12,2.66815051400278e-10
"TMEM37",887.260666982348,-1.22646750129799,0.185410568003588,5.06139938899976e-12,2.80297497388441e-10
"CCNB1",79.9624789290903,2.23337290323892,0.341246111822569,5.26561951934824e-12,2.90459035770032e-10
"ALDH4A1",768.213745264939,-1.28251174102004,0.19459032195611,5.43899480199398e-12,2.98846102630344e-10
"MSMO1",2711.2425692041,-1.44004321403836,0.219573118832626,5.68711175648717e-12,3.11258292266178e-10
"A1CF",212.693975659315,-1.94809464788508,0.298975809946013,6.01754880632387e-12,3.28061775585228e-10
"FANCD2",28.6882034246099,4.19409980225518,0.631106304284166,6.19539586347528e-12,3.35149387811398e-10
"TUBA4A",756.64179571885,1.82706958023474,0.280439904755635,6.1752813494246e-12,3.35149387811398e-10
"DCK",130.012661833275,1.93813248613704,0.299981642385265,6.77094081302451e-12,3.64875583581871e-10
"ESCO2",37.9826453475508,3.59886216888327,0.562088351614625,7.41006208737148e-12,3.97786896192191e-10
"ACBD4",73.1818321573183,-1.76604944374577,0.270819459548337,7.67993551080221e-12,4.09334181888621e-10
"MYBL2",38.4310637509809,3.85194390026122,0.610029180793801,7.70402069796652e-12,4.09334181888621e-10
